review_date,handle,helpfulness_rating,review,sentiment,cleaned_text
"August 21, 2016",kissesofhope26,18,"There are few things more depressing than loosing a beloved coffee maker, but that's what happened to us. Our old work horse started failing and we needed a new one. In comes this coffee maker to completely resurrect us from the dulldrums left by our former, caffeine-wielding friend. The setup was super quick and easy and off we were. The lack of coffee urn is a HUGE plus and the fact that water reservoir is removable makes the clean freak in me jump for joy. How was the first pot of coffee, you ask? Fan-freaking-tastic!! The coffee was hotter than our previous maker that supposedly had a setting to make it hotter.",positive,thing depressing loose beloved coffee maker happen u old work horse start fail need new one come coffee maker completely resurrect u dulldrums leave former caffeine wield friend setup super quick easy lack coffee urn huge plus fact water reservoir removable make clean freak jump joy first pot coffee ask fan freak tastic coffee hot previous maker supposedly set make hot
"August 30, 2019",Mariam,6,"Very disappointed in the coffee maker. The first month it was great, then I noticed a small leak from the bottom. The leak worsened and now I have to keep a dish towel under it to avoid staining my countertop. Rather than the leak, the features are wonderful. It was exactly the style I wanted. I had this style before just a different brand and it lasted over 5 years. I expected this brand to be just as good. Would not recommend buying this one. Too late or I would return it as ineffective product.",negative,disappointed coffee maker first month great notice small leak bottom leak worsen keep dish towel avoid stain countertop rather leak feature wonderful exactly style want style different brand last year expect brand good would recommend buy one late would return ineffective product
"July 6, 2020",Carol Jo,2,"I’ve bought cheaper coffee makers that are better. The dispenser leaks down the back when I press the button to get my coffee. And the only trouble shoot suggestion says that this happens when it’s got a clog from grounds. So, even though it’s brand new, we followed the instructions to clean it, but it just keeps doing it. I’m not sure if this is faulty or just what happens when you buy a coffee-dispensing maker rather than one with a carafe. I’m pretty disappointed because I’d been so excited about getting this coffee maker! Otherwise, the coffee stays piping hot the whole amount of time I set it to (4 hours) and it is easy to use and program. I just wish it didn’t make a giant mess.",negative,buy cheap coffee maker good dispenser leak back press button get coffee trouble shoot suggestion say happen get clog ground even though brand new follow instruction clean keep sure faulty happen buy coffee dispensing maker rather one carafe pretty disappointed excited get coffee maker otherwise coffee stay pip hot whole amount time set hour easy use program wish make giant mess
"April 14, 2016",Susie,13,"It has been a long time since I have been so disappointed in a product.  I""ll cut to the chase:  1)  The plastic is flimsy, and the coffeemaker is so lightweight that when you push the button to dispense the coffee, the whole thing slides on the counter (even with the rubber stoppers inserted on the bottom--maybe because my counter is granite, idk).  2)  It is so difficult to see the coffee when it is dispensing, so you have to bend down to make sure you don't overflow the cup (maybe because I'm 5'9"" idk).  3)  MY TOP COMPLAINT--if you set the ""keep warm"" setting, you will hear your coffee BOILING, for hours.  Not only does this make the coffee taste bitter, but it is way too hot to drink once you dispense it.  Anyway, I wanted to return it, but missed the window.  I spent the money and purchased a Cuisinart Coffee on Demand ($100) and it is worth every penny!",negative,long time since disappointed product cut chase plastic flimsy coffeemaker lightweight push button dispense coffee whole thing slide counter even rubber stopper insert bottom maybe counter granite idk difficult see coffee dispense bend make sure overflow cup maybe idk top complaint set keep warm setting hear coffee boiling hour make coffee taste bitter way hot drink dispense anyway want return miss window spend money purchase cuisinart coffee demand 100 worth every penny
"September 6, 2020",Barbara Wojtanoski,One,"l bought this coffee  pot in Nov.2019. In less than a week I found water on my counter !! thought I spilled water while filling it. ok so I wiped it up later went to get another cup of coffee it filled my cup but the coffee was all gone!!!! I made 12 cups  and was only my 2nd cup,What the heck!!!! I noticed coffee around the edge of the coffee maker I pulled it out AND THERE IS coffee ALL over the counter. I unplugged it took the basket & the part the holds the coffee and under it all was filled with coffee  well that same day it shorted  out. Many other people reported this same thing,I WILL READ ALL the reviews of products before I buy it. Hamilton Beach I so ashamed of you knowing that this product was defective and DIDN'T put out a recalls . It could have caught my house on fire. DON'T BUY THIS PRODUCT ITS NOT SAFE.",positive,buy coffee pot nov 2019 less week find water counter think spilled water fill ok wipe later go get another cup coffee fill cup coffee go make 12 cup 2nd cup heck notice coffee around edge coffee maker pull coffee counter unplug take basket part hold coffee fill coffee well day short many people report thing read review product buy hamilton beach ashamed know product defective put recall could catch house fire buy product safe
"January 22, 2020",JohnG,One,"We've had several of this model coffee maker for over 13 years, and we' like the design and functionality.  We like it so well that we ordered another one to have one in our new motor home.  When the new one came, we thought we'd use it in the house and rotate the older one to the motor home.  But the first few times we used it, it would leak coffee down the front below the outlet, running down the side of the cup being filled, eventually filling the drip tray and finally running onto the counter.  Okay, maybe a defective unit, so we returned it to Amazon and got a replacement. But the latest replacement had the same dripping problem!  So we reruned it and will try a different style coffee maker.  Can no longer recommend this one!",negative,several model coffee maker 13 year like design functionality like well order another one one new motor home new one come think use house rotate old one motor home first time use would leak coffee front outlet run side cup fill eventually fill drip tray finally run onto counter okay maybe defective unit return amazon get replacement late replacement dripping problem rerun try different style coffee maker longer recommend one
"April 5, 2020",CFrieberg,,"We purchased this type because the concept of a brew station without a carafe and a dispenser button was intriguing.  However, as with all coffeemakers that we have ever purchased, this one is loaded with disappointment. ""12 cups"" is not actually 12 cups.  The actual capacity of the reservoir is only 64 oz. (8 true cups). So beware if you are looking to brew an actual 12 cup pot. The more disconcerting issue though, is that the unit leaks. When we woke up, more than half the reservoir was missing water, and it was all over the counter.  We cannot find where the leak is coming from, but after every brew cycle, we find a puddle of water beneath the unit.  I put a towel under it for now, but I will be on the lookout for yet another model.  Why is it so difficult for consumers to purchase a product that is not falsely advertised and actually WORKS?!",negative,purchase type concept brew station without carafe dispenser button intrigue however coffeemakers ever purchase one load disappointment 12 cup actually 12 cup actual capacity reservoir 64 oz true cup beware look brew actual 12 cup pot disconcerting issue though unit leak wake half reservoir miss water counter cannot find leak come every brew cycle find puddle water beneath unit put towel lookout yet another model difficult consumer purchase product falsely advertised actually work
"April 24, 2021",rac rach,,Up Until 5 years ago I was never a coffee drinker (thanks to my first kid). I had no idea what features to look for in a coffee maker. I bought this exact model back in 2016. I've retired it as of today because (1) coffee comes out warm (2) leaks at the bottom (3) despite the bold button coffee still tastes weak unless you use a lot more coffee (4) even though I clean it by running it through with vinegar it still looks dirty. Unless you have small hands to fit inside the reservoir there will still be a film of coffee. I'm only sad to part with it only because it's been with me for many moves and it was my saving grace for all those sleepless nights because of my kids. But this mama of 3 needs her coffee to stay hot and needs less cleaning to do.,negative,year ago never coffee drinker thanks first kid idea feature look coffee maker buy exact model back 2016 retire today coffee come warm leak bottom despite bold button coffee still taste weak unless use lot coffee even though clean run vinegar still look dirty unless small hand fit inside reservoir still film coffee sad part many move saving grace sleepless night kid mama need coffee stay hot need less cleaning
"September 7, 2020",victorywine,,"I bought this to replace a carafe-free H-B I bought in 2006 that finally gave up the ghost after 13 years of dutiful service. I wanted to stay with H-B due to that proven reliability. I was really happy with this unit until about the last 2 weeks, my only complaint being that the coffee wasn't as hot as I like it until it sat in the tank for a few minutes.  But lately it doesn't properly transfer all the water from the reservoir to the tank, so I end up with less coffee that's way to strong.  The only way to make it finish the job is to restart the unit once or twice per brew, which completely renders the scheduling feature useless. I make about 6-8 cup pots every morning.  I've filled this with DI water since I bought it, and running liquid line cleaner through it hasn't helped.  So I think this is just a bad unit.  I am now looking for a replacement, and I cannot recommend anyone buy this coffee maker.",negative,buy replace carafe free buy 2006 finally give ghost 13 year dutiful service want stay due proven reliability really happy unit last week complaint coffee hot like sit tank minute lately properly transfer water reservoir tank end less coffee way strong way make finish job restart unit twice per brew completely render scheduling feature useless make cup pot every morning fill di water since buy run liquid line clean help think bad unit look replacement cannot recommend anyone buy coffee maker
"February 17, 2021",Michael A. Katz,,"This Coffee Maker was very well thought out with only a few exceptions. Using the tank to fill the water limits you to exactly 12 cups where the older Brew Station, you were actually able to get 14 cups out of. Emptying the water is a bit more difficult until you get the hang of it but I recommend keeping a towel under it while filling. I still would recommend this product if you don't like decanters. Pros, great coffee, fairly easy to clean, Tank shows coffee lever on both sides. Cons, more difficult to fill compared to old Brew Station until you get the hang of it, can't make more than 12 cups at a time as compared to the older Brew Station and the rubber feet are undersized and come out when you slide the Brew Station into place.",positive,coffee maker well think exception use tank fill water limit exactly 12 cup old brew station actually able get 14 cup empty water bit difficult get hang recommend keep towel fill still would recommend product like decanter pros great coffee fairly easy clean tank show coffee lever side con difficult fill compare old brew station get hang make 12 cup time compare old brew station rubber foot undersized come slide brew station place
"July 17, 2021",Amy H,,"I was skeptical because of a few negative reviews.. But we've had this for a few weeks now and so far it's great! We switched from a 6 year old Keurig 2.0 that was starting to act up. I love the programmable settings for both brewing and how long to keep the coffee hot. (I know this is not a new concept but a regular coffee maker tends to 'burn' the coffee as it keeps it warm) He leaves for work at 4:30 a.m. and I leave 3 hours later. We set it up the night before to be ready when he wakes up and the coffee is still hot when I get up, but doesn't taste like it's been sitting for hours. It's easy to clean and easy to use! I love that all you have to do in the morning is put your cup under the spout and push!",positive,skeptical negative review week far great switch year old keurig start act love programmable setting brewing long keep coffee hot know new concept regular coffee maker tend burn coffee keep warm leave work 30 leave hour later set night ready wake coffee still hot get taste like sit hour easy clean easy use love morning put cup spout push
"January 16, 2018",Karen Xavier,5,"Me and my husband are coffee junkies and I bought this for him since his other coffee maker broke. Once we plugged it in and set it up it did take a minute to figure out how to use it since we dumped the water in the wrong place...but once we figured that out and turned it on it was quick to heat and doesn’t drip like other coffee makers do. The brewing time is a nice feature which keeps the coffee warm for a certain amount of time and up to 4 hours, and also the programmable time is a plus since he wakes up early and doesn’t have to worry about making coffee as it turns on and starts to brew on the set time. We haven’t had any leaks, and find this to be wayyy nicer than other coffee makers like this we had in the past.",positive,husband coffee junky buy since coffee maker break plug set take minute figure use since dump water wrong place figure turn quick heat drip like coffee maker brewing time nice feature keep coffee warm certain amount time hour also programmable time plus since wake early worry make coffee turn start brew set time leak find wayyy nicer coffee maker like past
"December 12, 2019",Soulfoxx,,"I like the convenience of this coffee maker. The instructions are clear and easy to follow. The flavor of the coffee is always delicious with no residue or tinny taste. It brews pretty quick, and you can dispense while brewing—but if you like hot, hot coffee, wait. The keep warm feature is great. It’s super easy to clean! Only concerns are the display for more than 1-4 cups never shows up. Even if you program 1-4 cups it will brew all the water—if it were a truly programmable maker it should be able to calculate water usage. The actual coffee dispenser does not work as easily as stated. If the cup isn’t heavy enough, you have to use your hand to press the dispenser bar to release the coffee, thereby losing the one hand capability claim. I do recommend this as a economical and still great coffee maker in spite of those minor issues.",positive,like convenience coffee maker instruction clear easy follow flavor coffee always delicious residue tinny taste brew pretty quick dispense brewing like hot hot coffee wait keep warm feature great super easy clean concern display cup never show even program cup brew water truly programmable maker able calculate water usage actual coffee dispenser work easily state cup heavy enough use hand press dispenser bar release coffee thereby lose one hand capability claim recommend economical still great coffee maker spite minor issue
"December 13, 2020",Grateful,,"Such a shame! I had this product for 2 years and loved it before it leaked all over my counter and floor! Cleaning it did nothing. Well, decided to get another one and this one is leaking after 10 days!!! I'm reading the same from many reviewers. What's up Hamilton Beach??  Why are you continuing to sell this? I tried another one of your models before getting this one. Pure junk! Sorry HB, you've lost my respect and business! I won't be getting any more products from you!! I really loved so many features on this coffee maker too. It's just a shame you refused to fix a simple leak!! I was using a turkey baster to remove all the accumulated coffee by the Keep Warm Plate under the coffee tank.  It's such a shame! The concept was great, the execution was pure trash!!",negative,shame product year love leak counter floor clean nothing well decide get another one one leak 10 day read many reviewer hamilton beach continue sell tried another one model get one pure junk sorry hb lose respect business get product really love many feature coffee maker shame refuse fix simple leak use turkey baster remove accumulate coffee keep warm plate coffee tank shame concept great execution pure trash
"June 6, 2018",HappyInNebrasky,3,"This thing is TERRIBLE! I ordered it because I like the idea of not having to deal with a carafe and the length that it is supposed to keep your coffee hot. What's not mentioned is how LOUD this thing is. It gurgles and steams constantly. I thought I could deal with that, but then the buttons started to wear off. NOW it has started leaking all over my counter and floor. Complete waste if money. None of these things (except for the noise) started happening within the return period. I'm completely bummed with the quality of this product, and expected something much better from this company. Save your money, folks. Unless you want to be randomly mopping up leaking coffee every day.",negative,thing terrible order like idea deal carafe length suppose keep coffee hot mention loud thing gurgle steam constantly think could deal button start wear start leak counter floor complete waste money none thing except noise start happen within return period completely bum quality product expect something much well company save money folk unless want randomly mop leak coffee every day
"January 3, 2021",Ann,,"I've owned at least 5-6 of this exact coffee maker over the years.  I purchased this one, because it looked a little different.  Other then being mostly black plastic, it had the ss full front.  Unfortunately, the coffee dribbles down the front of the machine when you fill your coffee cup, which makes me have to wipe off the ss area every time I fill my cup.  This machine is obviously defective, but if I had purchased the older/cheaper model of this machine(that doesn't have the ss front) I probably wouldn't have noticed the dribbling because this area is all black plastic.  Needless to say, I'm returning it.  I've decided to purchase the Cuisinart brand, carafe-less coffee maker....well see how that one works out.",negative,own least exact coffee maker year purchase one look little different mostly black plastic ss full front unfortunately coffee dribble front machine fill coffee cup make wipe ss area every time fill cup machine obviously defective purchase old cheap model machine s front probably notice dribbling area black plastic needless say return decide purchase cuisinart brand carafe less coffee maker well see one work
"March 12, 2021",vince Lombardi,,"I clean the coffee tank every night to make sure their is no debria inside, when I move to coffee pot from under the counter I have coffee on the counter top under the pot, when you get the coffee out, it doesn't seem to be leaking but later I have more coffee all over the counter. I am told because the window on returning it has closed I will not get a complete refund. This coffee pot is junk, save your money Amazon was no help, the support rep must be working from home, the noise in the background was so bad you could not understand him he spoke broken English as well. Tried calling Hamilton Beach what a joke closed due to the covid virus, never again will I purchase their product.",negative,clean coffee tank every night make sure debria inside move coffee pot counter coffee counter top pot get coffee seem leak later coffee counter tell window return close get complete refund coffee pot junk save money amazon help support rep must work home noise background bad could understand speak broken english well tried call hamilton beach joke close due covid virus never purchase product
"September 21, 2019",junebug624,,"This is our third Hamilton Beach that dispenses the coffee. We love it! We use our coffee maker every single day and sometime more than one pot is brewed. So this is our third one over 13 years since we purchased our first. We love setting up the coffee the night before so it’s brewed when we come downstairs. It’s very easy to change the timer for weekend wake up times vs weekday. It only has a timer to keep the coffee pot hot up to 4 hours. If you need it to stay hot longer it’s easy enough to turn that function on and off after a couple of hours so it stays on for four more. It can also turn off after 1,2 or 3 hours. We grind our own beans so I can only give a flavor review based on grinding beans but I’m sure it would work just as great with ground coffee.",positive,third hamilton beach dispense coffee love use coffee maker every single day sometime one pot brew third one 13 year since purchase first love set coffee night brew come downstairs easy change timer weekend wake time vs weekday timer keep coffee pot hot hour need stay hot long easy enough turn function couple hour stay four also turn hour grind bean give flavor review base grind bean sure would work great ground coffee
"November 12, 2020",James,,"I had the last one for a long time, it was tough to throw out but a poor design caused the dispenser to fail like many others noted in their reviews.  I ordered another and it came and instantly leaked so I returned it.  Ordered one more and now after 6 months the gasket on the resevoir failed and caused coffee to leak all over inside it and on the counter, the unit is now failed as a whole and I am left with a coffee pot that cost 10 per month to use until it failed.  I contacted customer support and got an email back stating that the request was received but I never heard back.  If their quality and customer service wasn't embarassingly bad, this would be a five star review.",negative,last one long time tough throw poor design cause dispenser fail like many others note review order another come instantly leak returned order one month gasket resevoir fail cause coffee leak inside counter unit fail whole leave coffee pot cost 10 per month use fail contact customer support get email back state request receive never hear back quality customer service embarassingly bad would five star review
"August 16, 2020",Michael D. Bishop,,"When I first got this it was great. Don't get me wrong it still makes great coffee, but if you don't empty the reservoir right away most of the coffee will end up on the countertop and the floor and make a mess of your drawers and doors. Do not buy this unless you plan to move the coffee to carafe right away, even doing that I still get a little coffee on the counter. I thought this would be a great machine but I am very disappointed and need to buy a new coffee maker 3 months later. thinking its time to back to old school percolator. TODAY THE THING MADE A POPING NOISE AND LET OUT SMOKE - NOW IT DOES NOT HEAT - IN MY EXPERIENCE THIS PRODUCT IS JUNK. ABOUT 3 MONTHS AND I HAVE TO BUY YET ANOTHER COFFEEMAKER.",negative,first get great get wrong still make great coffee empty reservoir right away coffee end countertop floor make mess drawer door buy unless plan move coffee carafe right away even still get little coffee counter think would great machine disappointed need buy new coffee maker month later think time back old school percolator today thing make pop noise let smoke heat experience product junk month buy yet another coffeemaker
"August 8, 2019",Joseph B.,One,"This is the 2nd one of these that I have purchased, this one in Dec 2017, because for some reason I had thought that they had fixed the flaw of the first one. Like the first one from 2014, the coffee flow is SLOWING DOWN because the plastic lever that is behind where you push to dispense the coffee, that is next to a HEAT source, is bending when it is pressed. It will eventually break, to the point that the coffee flow is a trickle, to where it doesn't even work at all. I had tried putting a penny behind the lever, which helped for a while, but again, it will eventually break because some engineer at Hamilton Beach thought it would be a good idea to put a cheap plastic lever that gets pressed on everyday next to a heat source. They should have made that part out of metal or at least a material that is not affected by a heat source. I won't ever buy this model 47950 again, and may not buy Hamilton Beach again.",negative,2nd one purchase one dec 2017 reason think fix flaw first one like first one 2014 coffee flow slow plastic lever behind push dispense coffee next heat source bend press eventually break point coffee flow trickle even work try put penny behind lever help eventually break engineer hamilton beach think would good idea put cheap plastic lever get press everyday next heat source make part metal least material affect heat source ever buy model 47950 may buy hamilton beach
"June 10, 2021",Edward Hauser,,The design of this particular model that holds the coffee above and has the push button to release coffee into a cup is flawed. As an engineer I can see that the plastic dispenser needs a lip to prevent water tension similar to what happens when rain runs off a roof into a gutter. If done improperly the water attaches to the underside of the surface and runs back. When this happens on this model the coffee runs down the area where the button is toward the overflow. Another issue is a gap that allows that coffee to bypass the overflow and it runs onto the counter. All of these will leak unless they are redesigned. Read all the reviews pertaining to leaks. They are experiencing the same thing I am without understanding why.,positive,design particular model hold coffee push button release coffee cup flaw engineer see plastic dispenser need lip prevent water tension similar happen rain run roof gutter do improperly water attach underside surface run back happen model coffee run area button toward overflow another issue gap allow coffee bypass overflow run onto counter leak unless redesign read review pertain leak experience thing without understand
"September 8, 2016",Donald R. Whittington,3,"Our coffee maker gave up the ghost a while back, and I was forced to look for an alternative. I intended to use Amazon for research to see what was out there but the combination of price and same day delivery for Prime members made this too hard to resist.  I love this machine. It brews great coffee, it is easy to set up, and delivers a cup on demand with no carafe and no expensive, planet-contaminating pods. Despite the claims that there is ""no burned coffee taste"" it is obvious that flavor deteriorates and grows more harsh after the first hour or so, but not nearly so quickly as it did with my old carafe system. A nice surprise is that the design is such there is no wet coffee ground build-up in hard to reach creases around the basket, ensuring that everything stays fresh and clean over time. Well done, Hamilton Beach. I am a fan.",positive,coffee maker give ghost back force look alternative intend use amazon research see combination price day delivery prime member make hard resist love machine brew great coffee easy set delivers cup demand carafe expensive planet contaminate pod despite claim burned coffee taste obvious flavor deteriorates grow harsh first hour nearly quickly old carafe system nice surprise design wet coffee ground build hard reach crease around basket ensure everything stay fresh clean time well do hamilton beach fan
